HW;Vyrobce;Model;Rok;CMD;NKP;Zapojeni
Teltonika 150;Claas;Lexion 770;2018+;;;
Teltonika 150;Claas;Lexion 7700 (C58);2019+;;;
Teltonika 150;Claas;Lexion 8800 (C86);2019+;;;
Teltonika 150;Claas;Medion 340;2003+;;;
Teltonika 150;Claas;Mega 208;2003+;;;
Teltonika 150;Claas;Mega 360;2008+;;;
Teltonika 150;Claas;Mega 370;2007+;;;
Teltonika 150;Claas;Scorpion 9040 Plus;2011+;;;
Teltonika 150;Claas;Scorpion 9055;2013-2017;;;
Teltonika 150;Claas;Scorpion 960;2019+;;;
Teltonika 150;Claas;Tucano 440;2013+;;;
Teltonika 150;Claas;Xerion 4000;2014+;;;
Teltonika 150;Deutz-Fahr;6160;2012+;;;
Teltonika 150;Deutz-Fahr;Agrofarm 420;2009-2014;;;
Teltonika 150;Deutz-Fahr;Agrofarm 430;2010+;;;
Teltonika 150;Ero;6200 Grapeliner;2015+;;;
Teltonika 150;Faresin;735 GLS;2016+;;;
Teltonika 150;Faresin;Leader Compact 1400;2015+;;;
Teltonika 150;Fendt;1050 Vario;2019+;;;
Teltonika 150;Fendt;1165 MT;2017-2020;;;
Teltonika 150;Fendt;311 Vario mk3;2015+;;;
Teltonika 150;Fendt;312 Vario mk1;2006-2012;;;
Teltonika 150;Fendt;312 Vario mk3;2015-2020;;;
Teltonika 150;Fendt;312 Vario mk4;2021+;;;
Teltonika 150;Fendt;313 Vario mk2;2012-2015;;;
Teltonika 150;Fendt;413;2014+;;;
Teltonika 150;Fendt;415 Vario;2011+;;;
Teltonika 150;Fendt;516 mk3;2014-2018;;;
Teltonika 150;Fendt;516 mk4 (S4);2018+;;;
Teltonika 150;Fendt;718 Vario (Typ 727);2010+;;;
Teltonika 150;Fendt;718 Vario mk5;2015-2021;;;
Teltonika 150;Fendt;720 Vario mk5;2012-2021;;;
Teltonika 150;Fendt;720 Vario mk6;2021+;;;
Teltonika 150;Fendt;722 Vario;2017+;;;
Teltonika 150;Fendt;724 Vario mk5;2015-2021;;;
Teltonika 150;Fendt;824 Vario S4;2018+;;;
Teltonika 150;Fendt;826 Vario S4;2015+;;;
Teltonika 150;Fendt;828 Vario;2012+;;;
Teltonika 150;Fendt;926 Vario TMS mk2;2003-2006;;;
Teltonika 150;Fendt;930 Vario mk4;2011-2014;;;
Teltonika 150;Fendt;930 Vario mk5;2014-2019;;;
Teltonika 150;Fendt;930 Vario mk6;2019-2022;;;
Teltonika 150;Fendt;930 Vario TMS mk2;2002-2007;;;
Teltonika 150;Fendt;933 Vario mk5;2014-2019;;;
Teltonika 150;Fendt;933 Vario mk6;2019-2022;;;
Teltonika 150;Fendt;936 Vario mk4;2006-2014;;;
Teltonika 150;Fendt;936 Vario mk5;2014-2019;;;
Teltonika 150;Fendt;936 Vario mk7;2021+;;;
Teltonika 150;Hagie;STS10;2013+;;;
Teltonika 150;Hagie;STS12;2013+;;;
Teltonika 150;John Deere;4730;2009+;;;
Teltonika 150;John Deere;5085m;2015-2017;;;
Teltonika 150;John Deere;5090M;2019+;;;
Teltonika 150;John Deere;5100R;2009+;;;
Teltonika 150;John Deere;6120m;2015+;;;
Teltonika 150;John Deere;6135M;2017+;;;
Teltonika 150;John Deere;6140R;2015+;;;
Teltonika 150;John Deere;6145R;2019+;;;
Teltonika 150;John Deere;6150R;2014+;;;
Teltonika 150;John Deere;6155M;2018+;;;
Teltonika 150;John Deere;6155R;2018+;;;
Teltonika 150;John Deere;6170M;2013-2015;;;
Teltonika 150;John Deere;6175M;2015+;;;
Teltonika 150;John Deere;6175R (StageV);2020+;;;
Teltonika 150;John Deere;6195M;2018+;;;
Teltonika 150;John Deere;6195R;2018+;;;
Teltonika 150;John Deere;6215R;2017+;;;
Teltonika 150;John Deere;6230;2007-2012;;;
Teltonika 150;John Deere;6320;2002-2007;;;
Teltonika 150;John Deere;6330;2007-2012;;;
Teltonika 150;John Deere;6420;2002-2006;;;
Teltonika 150;John Deere;6430;2007-2012;;;
Teltonika 150;John Deere;6630 Premium;2006+;;;
Teltonika 150;John Deere;6820;2001-2006;;;
Teltonika 150;John Deere;6830;2012+;;;
Teltonika 150;John Deere;6920;2001-2006;;;
Teltonika 150;John Deere;6930;2006-2011;;;
Teltonika 150;John Deere;7215R;2013+;;;
Teltonika 150;John Deere;7250;2008+;;;
Teltonika 150;John Deere;7260R;2011-2013;;;
Teltonika 150;John Deere;7290R;2019+;;;
Teltonika 150;John Deere;7830;2007-2011;;;
Teltonika 150;John Deere;7930;2002-2007;;;
Teltonika 150;John Deere;8220;2002-2005;;;
Teltonika 150;John Deere;8230;2006-2009;;;
Teltonika 150;John Deere;8245R;2012+;;;
Teltonika 150;John Deere;8245R;2018+;;;
Teltonika 150;John Deere;8270R;2017+;;;
Teltonika 150;John Deere;8285R;2011-2013;;;
Teltonika 150;John Deere;8295R;2009-2010;;;
Teltonika 150;John Deere;8295R T4;2014+;;;
Teltonika 150;John Deere;8310R;2011-2013;;;
Teltonika 150;John Deere;8320R;2011+;;;
Teltonika 150;John Deere;8335R;2011-2013;;;
Teltonika 150;John Deere;8345R;2018+;;;
Teltonika 150;John Deere;8370R;2015+;;;
Teltonika 150;John Deere;9560WTS;2003+;;;
Teltonika 150;John Deere;S670i;2017+;;;
Teltonika 150;John Deere;S690;2009+;;;
Teltonika 150;John Deere;S770i (Stage V);2020+;;;
Teltonika 150;John Deere;T560;2011+;;;
Teltonika 150;John Deere;T660 mk3;2011+;;;
Teltonika 150;John Deere;T660 mk4;2012+;;;
Teltonika 150;John Deere;W650;2014+;;;
Teltonika 150;Landini;5-100;2018+;;;
Teltonika 150;Landini;5-100D;2016+;;;
Teltonika 150;Landini;5-100H;2014+;;;
Teltonika 150;Landini;6-130C;2017+;;;
Teltonika 150;Landini;6-135C;2019+;;;
Teltonika 150;Landini;6-145C;2019+;;;
Teltonika 150;Landini;6-145L;2015+;;;
Teltonika 150;Landini;7-175;2015+;;;
Teltonika 150;Landini;7-180;2018+;;;
Teltonika 150;Landini;Powermax 165;2011+;;;
Teltonika 150;Massey Ferguson;5445;2008-2013;;;
Teltonika 150;Massey Ferguson;5470;2012-2013;;;
Teltonika 150;Massey Ferguson;8732 mk2;2020+;;;
Teltonika 150;New Holland;T4 100f;2018+;;;
Teltonika 150;New Holland;T6 155;2012-2017;;;
Teltonika 150;New Holland;T6 165;2014+;;;
Teltonika 150;New Holland;T7 270;2017+;;;
Teltonika 150;New Holland;T7050;2007-2011;;;
Teltonika 150;New Holland;T8 390;2011-2014;;;
Teltonika 150;Pellenc;8590;2013+;;;
Teltonika 150;RMH;Mixellent 20;2013+;;;
Teltonika 150;Steyr;6170;2014+;;;
Teltonika 150;Steyr;6185;2018+;;;
Teltonika 150;Steyr;Kompakt 4085;2017+;;;
Teltonika 150;Valtra;A104;2018+;;;
Teltonika 150;Valtra;N101;2011+;;;
Teltonika 150;Valtra;N154EA;2017+;;;
Teltonika 150;Valtra;S352;2011+;;;
Teltonika 150;Valtra;T131;2007-2012;;;
Teltonika 150;Valtra;T234A;2018+;;;
Teltonika 150;Zetor;Proxima CL 100;2016+;;;
Teltonika 150;Zetor;Proxima HS 120;2016+;;;
Teltonika 150;ACGL;Agile (Tata LPO 1618-62LHD);2021+;;;
Teltonika 150;AGA;Spirit 2 (Scania K400);2018+;;;
Teltonika 150;Alexander Dennis;Enviro500 MMC;2015+;;;
Teltonika 150;ARC;127;2009+;;;
Teltonika 150;Ashok Leyland;Oyster LS1510;2023+;;;
Teltonika 150;Ashok Leyland;Sunshine 1509 BS6;2022+;;;
Teltonika 150;Ashok-Leyland;Falcon E4;2018+;;;
Teltonika 150;Autosan;A0909L;2007+;;;
Teltonika 150;Autosan;A1012T;2004+;;;
Teltonika 150;Ayats;Bravo-i (MAN RR4);2014+;;;
Teltonika 150;Ayco;Cosmopolitan (OH 1624-52L);2020+;;;
Teltonika 150;Ayco;Orion (MB LO 916) EU5;2016+;;;
Teltonika 150;Ayco;Zafiro Sport G3 (International);2015+;;;
Teltonika 150;Ayco;Zafiro Sport G3 (MBO 1421-60);2018+;;;
Teltonika 150;Beccar;Urbus G3 (Mercedes MBO);2018+;;;
Teltonika 150;Castrosua;Versus 18M GNC (MAN NG313-F);2012+;;;
Teltonika 150;Cobus;3000 mk4;2005-2018;;;
Teltonika 150;Credo;BN12;2008+;;;
Teltonika 150;Credo;EC11 E3;2004-2011;;;
Teltonika 150;Credo;EC12 BN12 E3;2005-2007;;;
Teltonika 150;Credo;EC12 BN12 E4;2007-2010;;;
Teltonika 150;Credo;EC12 BN12 E5;2010-2012;;;
Teltonika 150;Credo;Econell 12;2012+;;;
Teltonika 150;Credo;EN12;2006-2011;;;
Teltonika 150;Credo;EN18;2008+;;;
Teltonika 150;Credo;EN95;2011+;;;
Teltonika 150;Credo;IC12;2013+;;;
Teltonika 150;Credo;LH12;2013+;;;
Teltonika 150;Dina;Linner 12;2016+;;;
Teltonika 150;Dina;Runner 8;2015+;;;
Teltonika 150;Heuliez;GX337;2013+;;;
Teltonika 150;Higer;KLQ6858Q;2018+;;;
Teltonika 150;Ikarus;127-134;2010+;;;
Teltonika 150;Ikarus;V127;2014+;;;
Teltonika 150;Irisbus;New Recreo Phase 1;2006-2009;;;
Teltonika 150;Irisbus;New Recreo Phase 2;2009-2013;;;
Teltonika 150;Irizar;Century;2004-2011;;;
Teltonika 150;Irizar;i4 (Scania K310);2007+;;;
Teltonika 150;Irizar;i4 (Scania K340);2007+;;;
Teltonika 150;Irizar;i5 Integral (Scania K310) LATAM;2017+;;;
Teltonika 150;Irizar;i6 (MAN RR2 chassis);2014+;;;
Teltonika 150;Irizar;i6 DAF;2014+;;;
Teltonika 150;Irizar;i6 Scania;2014+;;;
Teltonika 150;Irizar;i8;2015+;;;
Teltonika 150;Irizar;i8 Integral;2018+;;;
Teltonika 150;Irizar;PB 1842LL Mercedes;2002-2015;;;
Teltonika 150;Irizar;PB Scania;2002-2015;;;
Teltonika 150;isuzu;NovoLux;2015+;;;
Teltonika 150;isuzu;NovoUltra;2017+;;;
Teltonika 150;isuzu;Turquoise;2017+;;;
Teltonika 150;iveco;Crossway;2013+;;;
Teltonika 150;iveco;Crossway Pop;2013+;;;
Teltonika 150;iveco;Daily mk3 C50C;2006+;;;
Teltonika 150;iveco;Magelys Pro E6;2014-2020;;;
Teltonika 150;iveco;Urbanino;2008+;;;
Teltonika 150;Jelcz;M120L M4;2004-2007;;;
Teltonika 150;Jonckheere;JHV (Volvo B11R);2014-2016;;;
Teltonika 150;Kinglong;XMQ6121G;2008+;;;
Teltonika 150;Kinglong;XMQ6127GS;2013-2017;;;
Teltonika 150;Kinglong;XMQ6127GS facelift;2016-2019;;;
Teltonika 150;Kinglong;XMQ6128YS;2013-2018;;;
Teltonika 150;Kinglong;XMQ6128YS facelift;2019+;;;
Teltonika 150;Kinglong;XMQ6771CY;2019+;;;
Teltonika 150;man;A91;2005+;;;
Teltonika 150;man;Lion's City (A21);2006+;;;
Teltonika 150;man;Lion's City (A66);2010+;;;
Teltonika 150;man;Lion's City G Ng313 A23;2009+;;;
Teltonika 150;man;Lion's City Nu283 A20;2008+;;;
Teltonika 150;man;Lion's Classic A72;2002+;;;
Teltonika 150;man;Lion's Classic A74;2003+;;;
Teltonika 150;man;Lion's Coach mk2 (R07);2002-2008;;;
Teltonika 150;man;Lion's Coach mk2 facelift;2008-2015;;;
Teltonika 150;man;Lion's Coach mk3;2017+;;;
Teltonika 150;man;Lion's Regio;2004-2017;;;
Teltonika 150;man;Lion's Star;2004-2006;;;
Teltonika 150;man;UL313;2004+;;;
Teltonika 150;Marcopolo;Allegro (OMC 1626-21-LB);2008+;;;
Teltonika 150;Marcopolo;Alliado (OH 1625-30);2019+;;;
Teltonika 150;Marcopolo;Boxer (MBO 1019-44);2012+;;;
Teltonika 150;Marcopolo;Boxer EPA04 (MBO 1419-60);2011+;;;
Teltonika 150;Marcopolo;Boxer EPA98 (MBO 1419-60);2008+;;;
Teltonika 150;Marcopolo;Boxer OF EPA04;2018+;;;
Teltonika 150;Marcopolo;Boxer OF EU5;2017+;;;
Teltonika 150;Marcopolo;Gran Viale (O500U 1826) E5;2014+;;;
Teltonika 150;Marcopolo;Gran Viale Articulado (O500 MA 2836);2014+;;;
Teltonika 150;Marcopolo;MP 120 MX (OC500 RF 1943);2019+;;;
Teltonika 150;Marcopolo;MP135 (MAN RR4);2019+;;;
Teltonika 150;Marcopolo;Multego (OC500 RF 1844);2008+;;;
Teltonika 150;Marcopolo;Starbus (Tata 712-42);2018+;;;
Teltonika 150;Marcopolo;Starbus (Tata BS3);2017+;;;
Teltonika 150;Marcopolo;Starbus (Tata LP810/52);2022+;;;
Teltonika 150;Marcopolo;Starbus Ultra (Tata LPO 10.2/54);2022+;;;
Teltonika 150;Marcopolo;Superpolo Senior Inter;2017+;;;
Teltonika 150;Marcopolo;Torino (OF 1721-59);2014+;;;
Teltonika 150;Marcopolo;Torino GV (OM 1623-51);2008+;;;
Teltonika 150;MAZ;103-065;2006+;;;
Teltonika 150;MCV;eVolution C102 (MAN A66);2011+;;;
Teltonika 150;mercedes-benz;Citaro BlueTec Hybrid (O530-GDH);2011-2017;;;
Teltonika 150;mercedes-benz;Citaro BlueTec Hybrid (O530-GDH);2011-2017;;;
Teltonika 150;mercedes-benz;Citaro C1 (O530);1998-2006;;;
Teltonika 150;mercedes-benz;Citaro C1 facelift (O530);2006-2011;;;
Teltonika 150;mercedes-benz;Citaro C1 facelift (O530);2006-2011;;;
Teltonika 150;mercedes-benz;Citaro C2 (O530);2011+;;;
Teltonika 150;mercedes-benz;Conecto mk1 Articulated (O345G);2002-2007;;;
Teltonika 150;mercedes-benz;Conecto mk1 Solo (O345);2002-2007;;;
Teltonika 150;mercedes-benz;Conecto mk2 E6 (O345);2014-2016;;;
Teltonika 150;mercedes-benz;Conecto-G mk3;2017+;;;
Teltonika 150;mercedes-benz;Destino;2011+;;;
Teltonika 150;mercedes-benz;Integro mk2;2008-2014;;;
Teltonika 150;mercedes-benz;Integro mk2;2008-2014;;;
Teltonika 150;mercedes-benz;Intouro mk2;2006-2013;;;
Teltonika 150;mercedes-benz;Intouro mk2;2006-2013;;;
Teltonika 150;mercedes-benz;Intouro mk2 Euro6;2013-2021;;;
Teltonika 150;mercedes-benz;Intouro mk2 Euro6;2013-2021;;;
Teltonika 150;mercedes-benz;Intouro mk3 (O633);2021+;;;
Teltonika 150;mercedes-benz;MBO 1218-52 Chassis;2017+;;;
Teltonika 150;mercedes-benz;MCV C120LE O500U;2017+;;;
Teltonika 150;mercedes-benz;O500 Rs1836;2010+;;;
Teltonika 150;mercedes-benz;O500U;2012+;;;
Teltonika 150;mercedes-benz;OH 1624-52L (XBC) EU5;2016+;;;
Teltonika 150;mercedes-benz;OH 1626 CKD;2017+;;;
Teltonika 150;mercedes-benz;Tourismo mk1;2005-2006;;;
Teltonika 150;mercedes-benz;Tourismo mk2;2006-2013;;;
Teltonika 150;mercedes-benz;Tourismo mk2;2006-2013;;;
Teltonika 150;mercedes-benz;Tourismo mk2 Euro6;2013-2017;;;
Teltonika 150;mercedes-benz;Tourismo mk2 Euro6;2013-2017;;;
Teltonika 150;mercedes-benz;Tourismo mk2 facelift;2017-2018;;;
Teltonika 150;mercedes-benz;Tourismo mk3;2018+;;;
Teltonika 150;mercedes-benz;Travego mk1 (O580);2003-2006;;;
Teltonika 150;mercedes-benz;Travego mk2 (Type 632);2006-2012;;;
Teltonika 150;mercedes-benz;Travego mk2 (Type 632);2006-2012;;;
Teltonika 150;mercedes-benz;Travego mk2 facelift (Type 632);2013-2017;;;
Teltonika 150;mercedes-benz;Travego mk2 facelift (Type 632);2013-2017;;;
Teltonika 150;Modulo;M108D;2015+;;;
Teltonika 150;Nabi;700 SE;2003+;;;
Teltonika 150;Neoplan;Euroliner N316KL;2004-2006;;;
Teltonika 150;Neoplan;Euroliner N316UE;2002-2006;;;
Teltonika 150;Neoplan;Tourliner N2216SHD;2005-2017;;;
Teltonika 150;Neoplan;Tourliner N2216SHD E6;2017+;;;
Teltonika 150;Neoplan;Tourliner N2216SHD E6 DTCO;2017+;;;
Teltonika 150;Noone;Turas 900;2015+;;;
Teltonika 150;Scania;Omniexpress;2007-2017;;;
Teltonika 150;Scania Higer;Touring HD (A80T);2011+;;;
Teltonika 150;Setra;S315 UL Euro3;2004-2006;;;
Teltonika 150;Setra;S411 HD;2001-2013;;;
Teltonika 150;Setra;S415 GT-HD;2008+;;;
Teltonika 150;Setra;S415 NF;2008+;;;
Teltonika 150;Setra;S415 NF;2008+;;;
Teltonika 150;Setra;S415 UL;2013+;;;
Teltonika 150;Setra;S415 UL;2013+;;;
Teltonika 150;Setra;S416 GT-HD;2006-2013;;;
Teltonika 150;Setra;S416 H;2010+;;;
Teltonika 150;Setra;S416 NF;2011+;;;
Teltonika 150;Setra;S416 NF;2011+;;;
Teltonika 150;Setra;S417 GT-HD;2003-2013;;;
Teltonika 150;Setra;S417 UL;2014+;;;
Teltonika 150;Setra;S419 UL;2012+;;;
Teltonika 150;Setra;S419 UL;2012+;;;
Teltonika 150;Setra;S515 HD;2013+;;;
Teltonika 150;Setra;S516 HD;2018+;;;
Teltonika 150;Solaris;Urbino 10 mk2;2002-2005;;;
Teltonika 150;Solaris;Urbino 12 mk2;2002-2005;;;
Teltonika 150;Solaris;Urbino 12 mk3;2005-2018;;;
Teltonika 150;Solaris;Urbino 18 mk3;2005-2018;;;
Teltonika 150;tata;1514 BS4;2017+;;;
Teltonika 150;tata;Sutlej;2019+;;;
Teltonika 150;Temsa;Safari HD TB283N;2006+;;;
Teltonika 150;Temsa;Safari RD RPTA7L;2010+;;;
Teltonika 150;Temsa;Safari RD RPU47LC5M;2007+;;;
Teltonika 150;Temsa;Safari RNS47L;2006+;;;
Teltonika 150;toyota;Coaster mk4 (TRB70);2017-2021;;;
Teltonika 150;TransBus;Trident 2;2003+;;;
Teltonika 150;VDL;Ambassador 200;2006-2011;;;
Teltonika 150;VDL;Bova Futura;2007-2010;;;
Teltonika 150;VDL;Citea SLF 120;2010+;;;
Teltonika 150;VDL;Citea SLFA 180 310;2013+;;;
Teltonika 150;VDL;Futura HD;2010+;;;
Teltonika 150;VDL Berkhof;Axial 70;2014+;;;
Teltonika 150;volvo;8900 E6;2014+;;;
Teltonika 150;Wrightbus;New Routemaster;2016+;;;
Teltonika 150;Yutong;EC13 (ZK6131HQ);2017+;;;
Teltonika 150;Yutong;ZK6122H9;2017+;;;
Teltonika 150;Yutong;ZK6122H9;2017+;;;
Teltonika 150;alfa romeo;Giulia (952);2017+;;;
Teltonika 150;alfa romeo;Giulietta facelift 1 (Type 940);2013-2016;;;
Teltonika 150;alfa romeo;Mito facelift-1 (Type 955);2014-2016;;;
Teltonika 150;alfa romeo;Stelvio (Tipo 949);2017-2019;;;
Teltonika 150;alfa romeo;Stelvio facelift (Tipo 949);2019+;;;
Teltonika 150;alfa romeo;Tonale (Type 965);2022+;;;
Teltonika 150;audi;A1 mk1 (Typ8X);2011-2018;;;
Teltonika 150;audi;A3 mk2 (Typ8P);2003-2008;;;
Teltonika 150;audi;A3 mk3 (Typ8V);2012-2016;;;
Teltonika 150;audi;A3 mk3 facelift (Typ8V);2016-2020;;;
Teltonika 150;audi;A3 mk4 (Typ8Y);2020+;;;
Teltonika 150;audi;A4 mk2 B6 (Typ8E);2000-2006;;;
Teltonika 150;audi;A4 mk4 B8 (Typ8K);2008-2011;;;
Teltonika 150;audi;A4 mk4 B8 facelift (Typ8K);2011-2016;;;
Teltonika 150;audi;A4 mk5 B9 (Typ8W);2015-2019;;;
Teltonika 150;audi;A4 mk5 B9 facelift (Typ8W);2019+;;;
Teltonika 150;audi;A5 mk1 B8 facelift (Typ8TA);2011-2016;;;
Teltonika 150;audi;A6 mk2 C5 facelift (Typ4B);2002-2004;;;
Teltonika 150;audi;A6 mk3 C6 (Typ4F);2004-2011;;;
Teltonika 150;audi;A6 mk4 C7 (Typ4G);2011-2015;;;
Teltonika 150;audi;A6 mk4 C7 Allroad (Typ4G);2012-2015;;;
Teltonika 150;audi;A6 mk4 C7 facelift (Typ4G);2015-2018;;;
Teltonika 150;audi;A6 mk5 C8 (TypF2);2018+;;;
Teltonika 150;audi;A6 mk5 C8 Allroad (TypF2);2018+;;;
Teltonika 150;audi;A7 mk2 (Typ4K8);2018+;;;
Teltonika 150;audi;A8 mk3 D4 (Typ4H);2010-2014;;;
Teltonika 150;audi;A8 mk3 D4 facelift (Typ4H);2014-2018;;;
Teltonika 150;audi;A8 mk4 D5 PHEV (Typ4N);2017-2022;;;
Teltonika 150;audi;e-tron Sportback (TypGE);2019-2022;;;
Teltonika 150;audi;Q2 facelift (TypGA);2020-2022;;;
Teltonika 150;audi;Q3 mk1 facelift (Typ8U);2015-2018;;;
Teltonika 150;audi;Q3 mk2 (TypF3);2018+;;;
Teltonika 150;audi;Q3 mk2 Sportback (TypF3);2021+;;;
Teltonika 150;audi;Q3 mk2 Sportback PHEV (TypF3);2021+;;;
Teltonika 150;audi;Q5 mk1 B8 (Typ8R);2009-2011;;;
Teltonika 150;audi;Q5 mk1 B8 facelift (Typ8R);2012-2018;;;
Teltonika 150;audi;Q5 mk2 (TypFY);2017-2020;;;
Teltonika 150;audi;Q5 mk2 facelift (TypFY);2020+;;;
Teltonika 150;audi;Q7 mk2 (Typ4M);2015-2020;;;
Teltonika 150;audi;Q7 mk2 facelift (Typ4M);2020+;;;
Teltonika 150;audi;RS Q8 (TypF1);2020+;;;
Teltonika 150;audi;S3 mk3 (Typ8V);2012-2017;;;
Teltonika 150;audi;S3 mk3 facelift (Typ8V);2017-2020;;;
Teltonika 150;audi;S4 mk2 B6 (Typ8E);2003-2006;;;
Teltonika 150;audi;S4 mk4 B8 (Typ8K);2008-2011;;;
Teltonika 150;audi;S4 mk4 B8 facelift (Typ8K);2011-2016;;;
Teltonika 150;audi;S5 mk2 B9 facelift (TypF5);2019+;;;
Teltonika 150;audi;S6 mk2 C5 facelift (Typ4B);2002-2004;;;
Teltonika 150;audi;S6 mk3 C6 (Typ4F);2004-2011;;;
Teltonika 150;audi;SQ5 mk1 facelift (Typ8R);2012-2017;;;
Teltonika 150;bmw;1 Series mk2 facelift (F20);2015-2019;;;
Teltonika 150;bmw;1 Series mk3 (F40);2019+;;;
Teltonika 150;bmw;2 Series Gran CoupŽ (F44);2020+;;;
Teltonika 150;bmw;2 Series mk1 (F22);2014-2020;;;
Teltonika 150;bmw;3 Series mk5 (E90);2004-2008;;;
Teltonika 150;bmw;3 Series mk5 facelift (E90);2008-2013;;;
Teltonika 150;bmw;3 Series mk6 (F30);2011-2015;;;
Teltonika 150;bmw;3 Series mk6 facelift (F30);2015-2018;;;
Teltonika 150;bmw;3 Series mk6 GT (F34);2011-2015;;;
Teltonika 150;bmw;3 Series mk7 (G20);2018-2022;;;
Teltonika 150;bmw;3 Series mk7 PHEV (G21);2018-2022;;;
Teltonika 150;bmw;4 Series mk1 (F36);2013-2017;;;
Teltonika 150;bmw;4 Series mk2 (G22);2020+;;;
Teltonika 150;bmw;5 Series mk6 facelift (F10);2014-2017;;;
Teltonika 150;bmw;5 Series mk7 (G30);2017-2020;;;
Teltonika 150;bmw;5 Series mk7 facelift PHEV (G30);2021-2023;;;
Teltonika 150;bmw;6 Series mk4 (G32);2017-2020;;;
Teltonika 150;bmw;7 Series mk5 (F01);2008-2015;;;
Teltonika 150;bmw;7 Series mk6 (G11);2015-2019;;;
Teltonika 150;bmw;i3;2014-2018;;;
Teltonika 150;bmw;i3 Rex;2014-2018;;;
Teltonika 150;bmw;M2 Competition (F87);2018-2020;;;
Teltonika 150;bmw;M5 mk6 Competition (F90);2018+;;;
Teltonika 150;bmw;X1 mk2 (F48);2015-2019;;;
Teltonika 150;bmw;X1 mk2 facelift (F48);2019-2022;;;
Teltonika 150;bmw;X1 mk2 facelift PHEV (F48);2019-2022;;;
Teltonika 150;bmw;X2 (F39);2018+;;;
Teltonika 150;bmw;X3 mk2 (F25);2010-2014;;;
Teltonika 150;bmw;X3 mk3 (G01);2017+;;;
Teltonika 150;bmw;X4 mk1 (F26);2014-2018;;;
Teltonika 150;bmw;X4 mk2 facelift (G02);2022+;;;
Teltonika 150;bmw;X5 M mk4 (G05) M-Competition;2019-2024;;;
Teltonika 150;bmw;X5 mk3 (F15);2013-2018;;;
Teltonika 150;bmw;X5 mk4 (G05);2018-2024;;;
Teltonika 150;bmw;X6 mk2 (F16);2014-2019;;;
Teltonika 150;bmw;X6 mk3 (G06);2019-2024;;;
Teltonika 150;buick;Enclave mk1 facelift;2013-2018;;;
Teltonika 150;buick;Regal mk5;2008-2017;;;
Teltonika 150;buick;Regal mk6;2018-2020;;;
Teltonika 150;byd;Dolphin CN;2021+;;;
Teltonika 150;byd;Qin Plus DM-i;2021+;;;
Teltonika 150;byd;Seal;2022+;;;
Teltonika 150;byd;Song Plus;2020+;;;
Teltonika 150;byd;Yuan Plus;2022+;;;
Teltonika 150;cadillac;ATS mk1;2012-2019;;;
Teltonika 150;cadillac;CTS mk2 facelift;2012-2014;;;
Teltonika 150;cadillac;Escalade mk4 (GMT K2XL);2015-2020;;;
Teltonika 150;cadillac;XT5;2016+;;;
Teltonika 150;chevrolet;Aveo (Sail) LATAM;2017-2023;;;
Teltonika 150;chevrolet;Bolt EV;2016-2019;;;
Teltonika 150;chevrolet;Camaro mk5;2010-2015;;;
Teltonika 150;chevrolet;Camaro mk5 (ZL1);2012-2015;;;
Teltonika 150;chevrolet;Caprice mk6;2006-2017;;;
Teltonika 150;chevrolet;Captiva mk1 (C100);2006-2011;;;
Teltonika 150;chevrolet;Captiva mk1 facelift 1 (C100);2011-2016;;;
Teltonika 150;chevrolet;Captiva Sport;2006-2010;;;
Teltonika 150;chevrolet;Cavalier mk4;2016+;;;
Teltonika 150;chevrolet;Cheyenne mk3;2014-2016;;;
Teltonika 150;chevrolet;Colorado mk1;2003-2012;;;
Teltonika 150;chevrolet;Cruze mk1;2008-2012;;;
Teltonika 150;chevrolet;Cruze mk1 facelift 2 (J300);2014-2016;;;
Teltonika 150;chevrolet;DMax mk1 facelift;2007-2012;;;
Teltonika 150;chevrolet;DMax mk2 (RT);2012-2017;;;
Teltonika 150;chevrolet;Groove;2020+;;;
Teltonika 150;chevrolet;Impala mk10;2014-2020;;;
Teltonika 150;chevrolet;Malibu mk8;2012-2016;;;
Teltonika 150;chevrolet;Malibu mk9;2016-2019;;;
Teltonika 150;chevrolet;Malibu mk9 facelift;2019+;;;
Teltonika 150;chevrolet;Montana mk2;2011-2020;;;
Teltonika 150;chevrolet;Onix mk1 facelift LATAM;2017-2019;;;
Teltonika 150;chevrolet;S-10 mk3;2011-2015;;;
Teltonika 150;chevrolet;S-10 mk3 facelift;2017+;;;
Teltonika 150;chevrolet;Silverado mk2;2007-2014;;;
Teltonika 150;chevrolet;Silverado mk3;2014-2016;;;
Teltonika 150;chevrolet;Sonic (T300) LATAM;2011-2017;;;
Teltonika 150;chevrolet;Spark mk3 M300;2007-2015;;;
Teltonika 150;chevrolet;Spark mk4 facelift (M400);2018+;;;
Teltonika 150;chevrolet;Suburban mk10;2007-2014;;;
Teltonika 150;chevrolet;Suburban mk11;2015-2021;;;
Teltonika 150;chevrolet;Tahoe mk3 (GMT900);2007-2014;;;
Teltonika 150;chevrolet;Tahoe mk4 (2KUC);2015-2021;;;
Teltonika 150;chevrolet;Tornado mk2;2011-2020;;;
Teltonika 150;chevrolet;Traverse mk1;2009-2013;;;
Teltonika 150;chevrolet;Trax;2012-2017;;;
Teltonika 150;chrysler;300C mk2;2011-2015;;;
Teltonika 150;chrysler;300C mk2 facelift;2015+;;;
