HW;Vyrobce;Model;Rok;CMD;NKP;Zapojeni
820;Ford;KUGA;136;CN829;CAN2={136,0,120};
820;Ford;Tranzit <2015;129;CN830;CAN2={129,0,120};
820;Ford;Tranzit 2015+;134;CN831;CAN2={134,0,120};
820;Ford;Tranzit CUSTOM 2024+ (VW Transporter 2025+);138/137/141/142/143;CN832;CAN2={141,0,120};
820;Ford;Turneo CUSTOM;133;CN833;CAN2={133,0,120};
820;Ford;Turneo Connect 2024+ (VW CADDY 2024+);141/142/143;CN832;CAN2={141,0,120};
820;Ford;Turneo Connect;136;CN829;CAN2={136,0,120};
820;Honda;Honda Civic 2023+;480;CN834;CAN2={480,0,120};
820;Hyundai;Hyundai Kona;323;CN835;CAN2={323,0,120};
820;Hyundai;Hyundai Tucson PlugIn hybrid 2024+ (ve vùvoji);326;CN908;CAN2={326,0,120,0};
820;Hyundai;Hyundai Tucson 2025+;325;CN836;CAN2={325,0,120}; vlevo od ped‡ló v äedŽm konektoru modrù HI a ‹ervenù LOW
820;Hyundai;Hyundai Tucson 2023+;325;CN836;CAN2={325,0,120};
820;Hyundai;Hyundai i10;320;CN837;CAN2={320,0,120};
820;Hyundai;Hyundai i20;320;CN837;CAN2={320,0,120};
820;Hyundai;Hyundai i30 2025+ (Kia CEE'D 2025+);321;CN901;CAN2={321,0,120};
820;Hyundai;Hyundai i30;320;CN837;CAN2={320,0,120};
820;Hyundai;Hyundai i40;320;CN837;CAN2={320,0,120};
820;Hyundai;HyundaiIoniq 2019;322;CN838;CAN2={322,0,120};
820;Hyundai;Hyundai (Kia <2016);320;CN837;CAN2={320,0,120};
820;Hyundai;Hyundai (Kia >2016);321;CN839;CAN2={321,0,120};
820;Chrysler;ChryslerVoyager 2012;256;CN840;CAN2={256,0,120};
820;Iveco;Iveco Stralis a Eurocargo;14;CN456;"CAN1={0,8,120};CAN2={0,1,120}";CAN1 tacho, CAN2 full FMS, bez profilu 14!
820;FMS;J1939, vypoceet trip fuel z fuel rate;10;CN909;CAN2={0,33,120}/CAN2={10,33,120};vùpo‹et trip fuel z fuel rate pro Iveco Daily
820;Jeep;JeepGrandCherokee 2017;672;CN841;CAN2={672,0,120};
820;Kia;CEE'D hatchback (ED) 2025+ (Hyundai i30);321;CN901;CAN2={321,0,120};
820;Kia;CEE'D hatchback (ED) 2016+;320;CN837;CAN2={320,0,120};
820;Kia;Kia EV6 2025+ ;328;CN910;CAN2={328,0,120,0}; v levŽm prahu u Þidi‹e v pÞedu. Jedn‡ se o dvojici ãkroucenùchÒ vodi‹ó . (CAN L - ‹ernù, CAN H - ìlutù)
820;Kia;Kia >2016 (Hyundai);321;CN839;CAN2={321,0,120};
820;Kia;Kia <2016 (Hyundai);320;CN837;CAN2={320,0,120};
820;Kia;Kia EV6;324;CN842;CAN2={324,0,120};
820;Kubota;Kubota M7171;2000;CN843;CAN2={522,0,120};
820;Mazda;Mazda;;CN844;CAN2={160,0,120};
820;Mazda;Mazda 2019+;;CN845;CAN2={161,0,120};
820;Mercedes;Mercedes C180;272;CN846;CAN2={272,0,120};
820;Mercedes;Mercedes C220D;274;CN848;CAN2={274,0,120};
820;Mercedes;Mercedes Citan (Renault Kangoo 2023+);243;CN849;CAN2={243,0,120};
820;Mercedes;Mercedes G 2012;275;CN850;CAN2={275,0,120};
820;Mercedes;Mercedes Sprinter 2018+;53;CN851;CAN2={54,0,120}/CAN2={53,0,120};
820;Mercedes;Mercedes Sprinter 83k;54;CN852;CAN2={54,0,120};
820;Mercedes;Mercedes sprinter/vito 2017-;48/49/50/51;CN853;CAN2={273,0,120} / CAN2={48,0,120};profil 51 nevy‹’t‡ km Ð v pÞ’kazu zmžna profilu na 48, kterù funguje spr‡vnž
820;Mercedes;Mercedes truck E5 a starä’;15;CN854;CAN2={15,0,120};
820;Mercedes;Mercedes V220;273;CN847;CAN2={273,0,120};
820;Mercedes;Mercedes Vito 2020+;273;CN847;CAN2={273,0,120};
820;Audi;Audi MQB;194/ 1194;CN855;CAN2={194,0,120};
820;Nissan;Nissan;67;CN856;CAN2={67,0,120};
820;Nissan;Nissan - Navara;66;CN857;CAN2={64,0,120}/CAN2={66,0,120};
820;Nissan;Nissan - Note, Micra;64;CN858;CAN2={64,0,120};
820;Nissan;Nissan - Primastar, Kubistar;65;CN859;CAN2={65,0,120};
820;Nissan;Nissan Interstar 2024+;241/242;CN860;CAN2={241,0,120};
820;Nissan;Nissan - X trail;68;CN861;CAN2={68,0,120};
820;Opel;OPEL ASTRA J;80;CN862;CAN2={80,0,120};
820;Opel;Opel Combo 2025 (Toyota ProAce city);228;CN813;CAN2={228,0,120};
820;Opel;OPEL Corsa;80;CN862;CAN2={80,0,120};
820;Opel;OPEL Insignia;80;CN862;CAN2={80,0,120};
820;Opel;Opel Astra ;289 / 291;CN815/CN871;CAN2={289,0,120}/CAN2{291,0,120}; 
820;Opel;Opel Vivaro 2015;289 / 291;CN815/CN871;CAN2={289,0,120}/CAN2{291,0,120}; 
820;Opel;Opel Zafira Life 2019 + (Toyota ProAce);228;CN813;CAN2={228,0,120};
820;Opel;Opel Zafira;289 / 291;CN815/CN871;CAN2={289,0,120}/CAN2{291,0,120}; 
820;Opel;OPEL Movano/Vivaro;81/82/83/243/241;CN863;CAN2={225,0,120}/CAN2={241,0,120};
820;Opel;OpelMovanoVivaro 2025+;152;CN822; CAN2={152,0,120};
820;Opel;ZAFIRA TOURER C (P12)10/11-;80;CN862;CAN2={80,0,120};
820;Peugeot;Peugeot Boxer 2015+;150;CN820;CAN2={154,0,120} / CAN2={150,0,120};diagnostickù konektor OBD2 vlevo pod volantem, 1CAN=PIN ‹.1 - CAN H (modrù vodi‹), PIN ‹. 9 - CAN L (bilù vodi‹),2CAN= prim‡rn’ PINy 6+14, sekund‡rn’ PINy 1+9 + HW œpraha jednotky
820;Peugeot;Peugeot Boxer 2021+ (Fiat Ducato, Citroen Jumper);81/82/83/243;CN863;CAN2={225,0,120}/CAN2={243,0,120};
820;Peugeot;Peugeot 207;224/227;CN864;CAN2={227,0,120};
820;Peugeot;Peugeot 308 (Toyota ProAce 2019)/PEUGEOT 208;225/228;CN813;CAN2={228,0,120};
820;Peugeot;EXPERT (V_) 04/16-;225/228;CN813;CAN2={228,0,120};
820;Peugeot;EXPERT karoserie04/16-;225/228;CN813;CAN2={228,0,120};
820;Peugeot;EXPERT valn’k/podvozek09/16- (Toyota ProAce);225/228;CN813;CAN2={228,0,120};
820;Peugeot;Peugeot 3008;225/228;CN813;CAN2={228,0,120};
820;Peugeot;Peugeot 5008;225/228;CN811;CAN2={208,0,120};
820;Peugeot;Peugeot Partner 2019+  (Toyota ProAce City);228;CN813;CAN2={228,0,120};
820;Peugeot;Peugeot Traveller 2016+;;;;
820;Peugeot;Peugeot Rifter;51;CN865;CAN2={51,0,120};
820;Renault;Renault Kangoo ZE;292;CN866;CAN2={292,0,120};
820;Renault;Renault Master II;241/242;CN867;CAN2={242,0,120}/CAN2={241,0,120};
820;Renault;Renault Master III (od 2010);240/243;CN868/CN869;CAN2={243,0,120}/CAN2={240,0,120};CN868 Ð CAN2- stav n‡drìe v % / CN869 Ð CAN1+CAN2 (CAN1={0,4,120,0}), stav n‡drìe v litrech Ð na 820 netestov‡no
820;Renault;Renault Master IV (od 2023);241/242;CN860;CAN2={241,0,120};
820;Renault;Renault MŽgane 2014;289 / 291;CN815/CN871;CAN2={289,0,120}/CAN2{291,0,120};
820;Renault;Renault Talisman;290;CN870;CAN2={290,0,120};
820;Renault;Renault Express;289;CN815;CAN2={289,0,120};
820;Renault;Renault Trafic 2015+;289 / 291;CN815/CN871;CAN2={289,0,120}/CAN2{291,0,120};
820;Renault;Renault Trafic 2018+;81/82/83/243;CN849;CAN2={243,0,120};
820;Renault;Renault Trafic;291;CN871;CAN2={291,0,120};
820;Renault;Renault Espace;290;CN870;CAN2={290,0,120};
820;Renault;Renault ScŽnic;289 / 291;CN815/CN871;CAN2={289,0,120}/CAN2{291,0,120};
820;Renault;Renault megane;288;CN872;CAN2={289,0,120}/CAN2={288,0,120};
820;Renault;Renault Kangoo 2023+ (Mercedes Citan);243;CN849;CAN2={243,0,120};
820;Renault;Renault ZOE;293;CN873;CAN2={293,0,120};
820;Seat;SEAT IBIZA (6L) 2003>;16;CN878;CAN2={16,0,120};
820;Seat;SEAT IBIZA ST (6J) 2010>;16;CN878;CAN2={16,0,120};
820;Seat;SEAT CORDOBA Vario 2003>;16;CN878;CAN2={16,0,120};
820;Seat;SEAT CORDOBA (6L) 2003>;16;CN878;CAN2={16,0,120};
820;Seat;SEAT LEON (1P) 2009>;192;CN805;CAN2={192,0,120,1801};
820;Seat;SEAT ALTEA (5P) 2009>;192;CN805;CAN2={192,0,120,1801};
820;Suzuki;Suzuki Ignis 2016;177;CN874;CAN2={177,0,120};
820;Suzuki;SUZUKI SX4;176;CN875;CAN2={176,0,120};
820;Suzuki;GRAND VITARA  ;176;CN875;CAN2={176,0,120};
820;Suzuki;SUZUKI SX4;176;CN875;CAN2={176,0,120};
820;Skoda;CITIGO 10/11-;17;CN876;CAN2={17,0,120};
820;Skoda;ENIAQ;202;CN877;CAN2={202,0,120};
820;Skoda;ELROQ 2025+;202;CN877;CAN2={202,0,120};
820;Skoda;FABIA I (6Y2)08/99-03/08;16;CN878;CAN2={16,0,120};
820;Skoda;FABIA I combi (6Y5)04/00-12/07;16;CN878;CAN2={16,0,120};
820;Skoda;FABIA I Praktik (6Y5)01/00-12/07;16;CN878;CAN2={16,0,120};
820;Skoda;FABIA I sedan (6Y3)10/99-12/07;16;CN878;CAN2={16,0,120};
820;Skoda;FABIA II (542)12/06-12/14;192;CN805;CAN2={192,0,120,1801};
820;Skoda;FABIA II combi (545)10/07-12/14;192;CN805;CAN2={192,0,120,1801};
820;Skoda;FABIA III (NJ3)08/14-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;FABIA III combi (NJ5)08/14-;192;CN805;CAN2={192,0,120,1801};
